year,Month,Day,extent
1978,1,2,15.9970197801020
1978,1,4,15.9220197801040
1978,1,6,15.9290197801060
1978,1,8,15.9680197801080
1978,1,10,15.190197801100
1978,1,12,15.3270197801120
1978,1,14,15.3520197801140
1978,1,16,15.50197801160
1978,1,18,15.5170197801180
1978,1,20,15.7090197801200
1978,1,22,15.6790197801220
1978,1,24,15.7450197801240
1978,1,26,15.6860197801260
1978,1,28,15.7770197801280
1978,1,30,15.9120197801300
1978,2,1,15.8570197802010
1978,2,3,15.8390197802030
1978,2,5,15.8310197802050
1978,2,7,15.8010197802070
1978,2,9,15.990197802090
1978,2,11,16.0990197802110
1978,2,13,16.2890197802130
1978,2,15,16.3230197802150
1978,2,17,16.3430197802170
1978,2,19,16.2910197802190
1978,2,21,16.260197802210
1978,2,23,16.4010197802230
1978,2,25,16.5790197802250
1978,2,27,16.5510197802270
1978,3,1,16.6350197803010
1978,3,3,16.4570197803030
1978,3,5,16.5680197803050
1978,3,7,16.5470197803070
1978,3,9,16.5360197803090
1978,3,11,16.5130197803110
1978,3,13,16.4140197803130
1978,3,15,16.310197803150
1978,3,17,16.4670197803170
1978,3,19,16.5050197803190
1978,3,21,16.3490197803210
1978,3,23,16.2790197803230
1978,3,25,16.2640197803250
1978,3,27,16.060197803270
1978,3,29,15.7630197803290
1978,3,31,15.8040197803310
1978,4,2,15.660197804020
1978,4,4,15.6410197804040
1978,4,6,15.6950197804060
1978,4,8,15.7940197804080
1978,4,10,15.7610197804100
1978,4,12,15.6550197804120
1978,4,14,15.50197804140
1978,4,16,15.4540197804160
1978,4,18,15.510197804180
1978,4,20,15.3430197804200
1978,4,22,15.2550197804220
1978,4,24,15.2240197804240
1978,4,26,15.1410197804260
1978,4,28,15.1080197804280
1978,4,30,15.9610197804300
1978,5,2,15.6260197805020
1978,5,4,15.4980197805040
1978,5,6,15.450197805060
1978,5,8,15.3250197805080
1978,5,10,15.1490197805100
1978,5,12,15.0120197805120
1978,5,14,13.8360197805140
1978,5,16,13.8620197805160
1978,5,18,13.6910197805180
1978,5,20,13.560197805200
1978,5,22,13.5290197805220
1978,5,24,13.3640197805240
1978,5,26,13.3990197805260
1978,5,28,13.2920197805280
1978,5,30,13.260197805300
1978,6,1,13.0760197806010
1978,6,3,12.9770197806030
1978,6,5,12.8320197806050
1978,6,7,12.7910197806070
1978,6,9,12.8540197806090
1978,6,11,12.7330197806110
1978,6,13,12.6730197806130
1978,6,15,12.5480197806150
1978,6,17,12.5170197806170
1978,6,19,12.4150197806190
1978,6,21,12.3730197806210
1978,6,23,12.2430197806230
1978,6,25,12.1120197806250
1978,6,27,12.9770197806270
1978,6,29,12.8290197806290
1978,7,1,12.5620197807010
1978,7,3,12.3630197807030
1978,7,5,12.2550197807050
1978,7,7,10.9360197807070
1978,7,9,10.7930197807090
1978,7,11,10.6620197807110
1978,7,13,10.5030197807130
1978,7,15,10.4010197807150
1978,7,17,10.2560197807170
1978,7,19,9.9270197807190
1978,7,21,9.9190197807210
1978,7,23,9.6680197807230
1978,7,25,9.6140197807250
1978,7,27,9.5560197807270
1978,7,29,9.3420197807290
1978,7,31,9.2230197807310
1978,8,2,9.0197808020
1978,8,4,8.8590197808040
1978,8,6,8.7440197808060
1978,8,8,8.610197808080
1978,8,10,8.3280197808100
1978,8,12,8.2840197808120
1978,8,14,8.1380197808140
1978,8,16,8.9710197808160
1978,8,18,8.8110197808180
1978,8,20,8.6590197808200
1978,8,22,8.5660197808220
1978,8,24,8.5770197808240
1978,8,26,8.4210197808260
1978,8,28,8.3640197808280
1978,8,30,8.2840197808300
1978,9,1,8.2280197809010
1978,9,3,8.1470197809030
1978,9,5,8.0370197809050
1978,9,7,8.0750197809070
1978,9,9,8.0920197809090
1978,9,11,8.9810197809110
1978,9,13,8.0030197809130
1978,9,15,8.0070197809150
1978,9,17,8.0010197809170
1978,9,19,8.910197809190
1978,9,21,8.8950197809210
1978,9,23,8.0330197809230
1978,9,25,8.0580197809250
1978,9,27,8.1270197809270
1978,9,29,8.1730197809290
1978,10,1,8.4040197810010
1978,10,3,8.5340197810030
1978,10,5,8.8130197810050
1978,10,7,8.8780197810070
1978,10,9,8.1150197810090
1978,10,11,8.1360197810110
1978,10,13,8.3380197810130
1978,10,15,8.570197810150
1978,10,17,8.9380197810170
1978,10,19,9.190197810190
1978,10,21,9.2950197810210
1978,10,23,9.4660197810230
1978,10,25,9.70197810250
1978,10,26,10.23107810260
1978,10,28,10.4207810280
1978,10,30,10.55707810300
1978,11,1,10.6707811010
1978,11,3,10.77707811030
1978,11,5,10.96807811050
1978,11,7,11.0807811070
1978,11,9,11.18907811090
1978,11,11,11.31407811110
1978,11,13,11.4607811130
1978,11,15,11.53907811150
1978,11,17,11.69607811170
1978,11,19,11.8707811190
1978,11,21,12.05307811210
1978,11,23,12.27407811230
1978,11,25,12.44107811250
1978,11,27,12.66207811270
1978,11,29,12.68407811290
1978,12,1,12.72507812010
1978,12,3,12.6607812030
1978,12,5,12.78507812050
1978,12,7,13.05107812070
1978,12,9,13.14307812090
1978,12,11,13.43707812110
1978,12,13,13.60307812130
1978,12,15,13.64907812150
1978,12,17,13.80707812170
1978,12,19,13.89207812190
1978,12,21,13.99607812210
1978,12,23,14.18907812230
1978,12,25,14.26807812250
1978,12,27,14.38307812270
1978,12,29,14.507812290
1978,12,31,14.58507812310
1979,1,2,14.9970197901020
1979,1,4,14.9220197901040
1979,1,6,14.9290197901060
1979,1,8,14.9680197901080
1979,1,10,15.190197901100
1979,1,12,15.3270197901120
1979,1,14,15.3520197901140
1979,1,16,15.50197901160
1979,1,18,15.5170197901180
1979,1,20,15.7090197901200
1979,1,22,15.6790197901220
1979,1,24,15.7450197901240
1979,1,26,15.6860197901260
1979,1,28,15.7770197901280
1979,1,30,15.9120197901300
1979,2,1,15.8570197902010
1979,2,3,15.8390197902030
1979,2,5,15.8310197902050
1979,2,7,15.8010197902070
1979,2,9,15.990197902090
1979,2,11,16.0990197902110
1979,2,13,16.2890197902130
1979,2,15,16.3230197902150
1979,2,17,16.3430197902170
1979,2,19,16.2910197902190
1979,2,21,16.260197902210
1979,2,23,16.4010197902230
1979,2,25,16.5790197902250
1979,2,27,16.5510197902270
1979,3,1,16.6350197903010
1979,3,3,16.4570197903030
1979,3,5,16.5680197903050
1979,3,7,16.5470197903070
1979,3,9,16.5360197903090
1979,3,11,16.5130197903110
1979,3,13,16.4140197903130
1979,3,15,16.310197903150
1979,3,17,16.4670197903170
1979,3,19,16.5050197903190
1979,3,21,16.3490197903210
1979,3,23,16.2790197903230
1979,3,25,16.2640197903250
1979,3,27,16.060197903270
1979,3,29,15.7630197903290
1979,3,31,15.8040197903310
1979,4,2,15.660197904020
1979,4,4,15.6410197904040
1979,4,6,15.6950197904060
1979,4,8,15.7940197904080
1979,4,10,15.7610197904100
1979,4,12,15.6550197904120
1979,4,14,15.50197904140
1979,4,16,15.4540197904160
1979,4,18,15.510197904180
1979,4,20,15.3430197904200
1979,4,22,15.2550197904220
1979,4,24,15.2240197904240
1979,4,26,15.1410197904260
1979,4,28,15.1080197904280
1979,4,30,14.9610197904300
1979,5,2,14.6260197905020
1979,5,4,14.4980197905040
1979,5,6,14.450197905060
1979,5,8,14.3250197905080
1979,5,10,14.1490197905100
1979,5,12,14.0120197905120
1979,5,14,13.8360197905140
1979,5,16,13.8620197905160
1979,5,18,13.6910197905180
1979,5,20,13.560197905200
1979,5,22,13.5290197905220
1979,5,24,13.3640197905240
1979,5,26,13.3990197905260
1979,5,28,13.2920197905280
1979,5,30,13.260197905300
1979,6,1,13.0760197906010
1979,6,3,12.9770197906030
1979,6,5,12.8320197906050
1979,6,7,12.7910197906070
1979,6,9,12.8540197906090
1979,6,11,12.7330197906110
1979,6,13,12.6730197906130
1979,6,15,12.5480197906150
1979,6,17,12.5170197906170
1979,6,19,12.4150197906190
1979,6,21,12.3730197906210
1979,6,23,12.2430197906230
1979,6,25,12.1120197906250
1979,6,27,11.9770197906270
1979,6,29,11.8290197906290
1979,7,1,11.5620197907010
1979,7,3,11.3630197907030
1979,7,5,11.2550197907050
1979,7,7,10.9360197907070
1979,7,9,10.7930197907090
1979,7,11,10.6620197907110
1979,7,13,10.5030197907130
