year,month,day,ActualMax,AverageTemp,MaxAvTemp,MinAvTemp
1960,01,01,47,33.6,37.4,29.9
1960,02,01,49,35.0,38.5,31.5
1960,03,01,47,34.3,38.7,29.8
1960,04,01,37,28.4,32.1,24.7
1960,05,01,38,24.5,28.9,20.1
1960,06,01,34,17.2,22.4,12.1
1960,07,01,35,11.7,20.6,2.9
1960,08,01,41,20.2,28.7,11.8
1960,09,01,39,26.3,31.9,20.6
1960,10,01,40,28.6,33.6,23.5
1960,11,01,45,30.3,35.5,25.1
1960,12,01,44,33.8,38.4,29.3
1961,02,01,41,32.8,36.4,29.2
1961,03,01,41,31.1,35.2,27.1
1961,04,01,36,28.0,31.9,24.1
1961,05,01,34,23.6,28.2,19.0
1961,06,01,38,13.5,20.0,7.1
1961,07,01,39,11.8,19.8,3.8
1961,08,01,41,9.5,17.8,1.2
1961,09,01,40,17.2,26.1,8.3
1961,10,01,44,29.2,35.2,23.3
1961,11,01,46,30.5,35.4,25.6
1962,01,01,47,33.8,38.3,29.3
1962,02,01,44,33.4,36.9,29.8
1962,03,01,41,30.5,34.6,26.4
1962,04,01,43,30.3,34.7,25.8
1962,05,01,36,22.0,27.0,16.9
1962,06,01,37,25.4,30.9,20.0
1962,07,01,47,14.3,24.4,4.2
1962,08,01,42,19.8,27.0,12.6
1962,09,01,49,28.6,33.4,23.7
1962,10,01,49,32.1,36.1,28.0
1962,11,01,39,30.0,33.1,26.9
1962,12,01,44,33.0,37.0,28.9
1963,01,01,48,35.4,38.7,32.0
1963,02,01,45,35.4,38.3,32.6
1963,03,01,41,31.6,34.8,28.3
1963,04,01,41,28.5,31.8,25.2
1963,05,01,38,26.4,30.3,22.6
1963,06,01,37,19.1,25.5,12.7
1963,07,01,39,19.5,25.4,13.7
1963,08,01,34,13.9,19.9,7.8
1963,09,01,39,19.1,27.0,11.3
1963,10,01,41,18.7,25.4,12.1
1963,11,01,46,28.7,33.8,23.7
1963,12,01,52,33.4,37.4,29.3
1964,01,01,46,33.4,36.3,30.5
1964,02,01,45,33.1,36.8,29.3
1964,03,01,44,31.7,35.3,28.0
1964,04,01,45,22.5,27.4,17.5
1964,05,01,42,23.0,30.3,15.7
1964,06,01,38,17.8,23.7,11.9
1964,07,01,37,11.0,19.1,3.0
1964,08,01,34,6.6,16.8,-3.6
1964,09,01,47,23.4,30.8,15.9
1964,10,01,44,31.6,36.9,26.2
1964,11,01,42,31.0,34.9,27.0
1964,12,01,41,33.0,36.4,29.7
1965,01,01,44,34.5,37.7,31.2
1965,02,01,49,34.1,38.0,30.3
1965,03,01,47,34.7,39.2,30.2
1965,04,01,36,29.0,32.6,25.5
1965,05,01,41,29.0,32.8,25.3
1965,06,01,40,24.3,28.7,19.9
1965,07,01,36,14.0,22.0,5.9
1965,08,01,34,11.2,19.1,3.3
1965,09,01,41,23.3,30.4,16.2
1965,10,01,37,23.0,29.0,17.0
1965,11,01,39,30.0,33.9,26.2
1965,12,01,42,29.4,32.2,26.5
1966,01,01,43,32.0,35.4,28.7
1966,02,01,45,30.3,33.6,27.0
1966,03,01,40,31.2,34.1,28.2
1966,04,01,49,27.1,32.5,21.6
1966,05,01,36,15.0,21.9,8.1
1966,06,01,35,13.8,20.0,7.6
1966,07,01,33,11.5,19.4,3.6
1966,08,01,42,19.4,27.3,11.6
1966,09,01,42,22.4,29.3,15.5
1966,10,01,38,25.6,31.3,19.9
1966,11,01,40,27.3,31.8,22.8
1966,12,01,43,31.7,35.9,27.6
1967,01,01,43,32.3,35.4,29.2
1967,02,01,44,32.9,36.7,29.0
1967,03,01,50,33.5,37.4,29.6
1967,04,01,39,28.7,32.3,25.1
1967,05,01,45,17.3,24.9,9.6
1967,06,01,40,13.9,22.7,5.0
1967,07,01,36,20.4,28.7,12.2
1967,08,01,40,16.3,24.0,8.5
1967,09,01,42,17.3,24.8,9.8
1967,10,01,40,23.9,31.9,16.0
1967,11,01,45,30.1,35.8,24.4
1967,12,01,45,32.1,36.0,28.1
1968,02,01,45,33.7,36.9,30.5
1968,03,01,41,31.1,34.2,28.0
1968,04,01,43,27.8,31.6,23.9
1968,05,01,37,20.1,26.5,13.8
1968,06,01,40,13.8,22.8,4.8
1968,07,01,36,17.7,26.9,8.6
1968,08,01,39,19.8,27.2,12.4
1968,09,01,39,24.1,30.6,17.5
1968,10,01,44,30.4,35.1,25.8
1968,11,01,43,31.2,35.1,27.2
1968,12,01,41,33.0,35.7,30.2
1969,01,01,41,33.8,36.8,30.8
1969,02,01,45,34.1,36.1,32.1
1969,03,01,42,29.2,33.2,25.2
1969,04,01,40,26.8,29.6,24.0
1969,05,01,36,16.2,23.0,9.4
1969,06,01,37,13.6,22.0,5.2
1969,07,01,41,14.9,21.4,8.3
1969,08,01,43,14.8,21.9,7.6
1969,09,01,36,25.8,29.5,22.0
