dt,AverageTemperature,AverageTemperatureUncertainty,Country
1850.0801,24.176,0.942,Brazil
1850.0901,24.551,0.96,Brazil
1850.1001,24.468000000000004,1.004,Brazil
1850.1101,24.604,1.289,Brazil
1850.1201,24.643,1.018,Brazil
1851.0101,25.414,0.735,Brazil
1851.0201,25.06,0.792,Brazil
1851.0301,24.234,0.936,Brazil
1851.0401,24.004,1.401,Brazil
1851.0501,23.566999999999997,0.7979999999999999,Brazil
1851.0601,23.046,0.83,Brazil
1851.0701,23.616999999999997,1.207,Brazil
1851.0801,24.073,1.068,Brazil
1851.0901,24.492,0.809,Brazil
1851.1001,25.073,1.541,Brazil
1851.1101,24.642,0.97,Brazil
1851.1201,24.886,2.344,Brazil
1852.0101,25.197000000000006,1.79,Brazil
1852.0201,24.767000000000003,0.802,Brazil
1852.0301,24.331,1.374,Brazil
1852.0401,24.065,1.189,Brazil
1852.0501,23.971999999999998,0.882,Brazil
1852.0601,23.099,0.89,Brazil
1852.0701,23.45,1.036,Brazil
1852.0801,23.673,0.8370000000000001,Brazil
1852.0901,24.553,0.862,Brazil
1852.1001,24.888,0.772,Brazil
1852.1101,24.708000000000002,1.053,Brazil
1852.1201,25.616,1.242,Brazil
1853.0101,24.939,0.947,Brazil
1853.0201,24.372,0.987,Brazil
1853.0301,24.239,1.203,Brazil
1853.0401,24.245,1.052,Brazil
1853.0501,23.578000000000003,0.738,Brazil
1853.0601,23.131999999999998,0.838,Brazil
1853.0701,23.654,0.78,Brazil
1853.0801,24.433000000000003,0.906,Brazil
1853.0901,24.951,0.86,Brazil
1853.1001,24.934,0.851,Brazil
1853.1101,24.989,1.3869999999999998,Brazil
1853.1201,24.976999999999997,0.948,Brazil
1854.0101,24.274,1.284,Brazil
1854.0201,24.473000000000006,1.089,Brazil
1854.0301,24.639,0.995,Brazil
1854.0401,24.358,0.8909999999999999,Brazil
1854.0501,23.77,0.785,Brazil
1854.0601,22.982000000000006,1.077,Brazil
1854.0701,23.648000000000003,0.996,Brazil
1854.0801,24.226999999999997,1.008,Brazil
1854.0901,24.818,0.7929999999999999,Brazil
1854.1001,25.929,0.996,Brazil
1854.1101,25.276,0.89,Brazil
1854.1201,25.186999999999998,1.742,Brazil
1855.0101,25.844,1.519,Brazil
1855.0201,25.430000000000003,1.156,Brazil
1855.0301,24.982,0.809,Brazil
1855.0401,24.989,1.132,Brazil
1855.0501,24.066999999999997,1.0,Brazil
1855.0601,23.189,1.086,Brazil
1855.0701,23.147,0.858,Brazil
1855.0801,24.175,0.769,Brazil
1855.0901,24.49,0.687,Brazil
1855.1001,24.815,1.134,Brazil
1855.1101,24.941,0.768,Brazil
1855.1201,23.822,1.645,Brazil
1856.0101,24.926,0.863,Brazil
1856.0201,24.198,1.105,Brazil
1856.0301,24.147,1.19,Brazil
1856.0401,24.226,0.784,Brazil
1856.0501,23.241,1.04,Brazil
1856.0601,23.182,1.166,Brazil
1856.0701,22.881999999999998,0.921,Brazil
1856.0801,23.408,0.898,Brazil
1856.0901,23.959,0.935,Brazil
1856.1001,24.162,0.773,Brazil
1856.1101,24.698,0.851,Brazil
1856.1201,24.554,1.319,Brazil
1857.0101,24.642000000000003,1.056,Brazil
1857.0201,24.649,1.245,Brazil
1857.0301,24.369,1.009,Brazil
1857.0401,22.976,0.87,Brazil
1857.0501,22.834,0.843,Brazil
1857.0601,22.66,0.825,Brazil
1857.0701,23.191,0.903,Brazil
1857.0801,23.516,0.804,Brazil
1857.0901,24.231,0.846,Brazil
1857.1001,24.58,0.934,Brazil
1857.1101,25.263,1.087,Brazil
1857.1201,25.253,0.875,Brazil
1858.0101,25.206999999999997,1.567,Brazil
1858.0201,24.625999999999998,0.789,Brazil
1858.0301,24.726,0.98,Brazil
1858.0401,24.397,1.3259999999999998,Brazil
1858.0501,23.706999999999997,1.075,Brazil
1858.0601,22.480999999999998,1.11,Brazil
1858.0701,22.399,0.915,Brazil
1858.0801,23.519,0.934,Brazil
1858.0901,23.77,1.59,Brazil
1858.1001,24.339,1.026,Brazil
1858.1101,24.994,1.084,Brazil
1858.1201,23.719,0.969,Brazil
