dt,AverageTemperature,AverageTemperatureUncertainty,Country
1823.0101,-29.921,3.768,Greenland
1823.0201,-32.374,3.495,Greenland
1823.0301,-29.064,2.849,Greenland
1823.0401,-22.031,3.458,Greenland
1823.0501,-13.411,3.024,Greenland
1823.0601,-3.9619999999999997,3.264,Greenland
1823.0701,-1.166,2.9330000000000003,Greenland
1823.0801,-4.821000000000001,3.008,Greenland
1823.0901,-12.759,3.144,Greenland
1823.1001,-21.953000000000003,2.985,Greenland
1823.1101,-27.798,3.633,Greenland
1823.1201,-30.872,2.928,Greenland
1824.0101,-30.499000000000002,2.964,Greenland
1824.0201,-30.993000000000002,3.357,Greenland
1824.0301,-29.003,3.039,Greenland
1824.0401,-21.467,3.467,Greenland
1824.0501,-11.720999999999998,3.36,Greenland
1824.0601,-2.983,3.741,Greenland
1824.0701,-0.5579999999999999,3.781,Greenland
1824.0801,-4.529,3.216,Greenland
1824.0901,-12.562,3.366,Greenland
1824.1001,-21.974,2.97,Greenland
1824.1101,-28.314,3.317,Greenland
1824.1201,-29.706,3.744,Greenland
1825.0101,-30.246,3.4960000000000004,Greenland
1825.0201,-31.119,3.008,Greenland
1825.0301,-27.885,3.338,Greenland
1825.0401,-22.566000000000006,4.06,Greenland
1825.0501,-12.747,2.909,Greenland
1825.0601,-4.162,2.843,Greenland
1825.0701,-1.893,3.508,Greenland
1825.0801,-5.218,3.579,Greenland
1825.0901,-11.463,3.383,Greenland
1825.1001,-20.581,3.189,Greenland
1825.1101,-26.570999999999998,3.043,Greenland
1825.1201,-30.321,3.111,Greenland
1826.0101,-30.355,2.928,Greenland
1826.0201,-30.959,3.165,Greenland
1826.0301,-28.097,3.182,Greenland
1826.0401,-22.683000000000003,3.571,Greenland
1826.0501,-11.968,3.125,Greenland
1826.0601,-5.2860000000000005,3.511,Greenland
1826.0701,-2.407,3.6,Greenland
1826.0801,-5.709999999999999,3.319,Greenland
1826.0901,-12.075999999999999,3.391,Greenland
1826.1001,-20.603,3.247,Greenland
1826.1101,-25.65,2.882,Greenland
1826.1201,-27.998,3.305,Greenland
1827.0101,-29.37,3.237,Greenland
1827.0201,-29.694000000000003,3.179,Greenland
1827.0301,-29.726999999999997,3.769,Greenland
1827.0401,-22.114,3.936,Greenland
1827.0501,-11.827,3.286,Greenland
1827.0601,-4.184,3.1,Greenland
1827.0701,-1.941,2.94,Greenland
1827.0801,-4.3,3.054,Greenland
1827.0901,-12.463,2.83,Greenland
1827.1001,-20.322,2.919,Greenland
1827.1101,-25.276,3.544,Greenland
1827.1201,-29.921999999999997,3.674,Greenland
1828.0101,-30.946,3.292,Greenland
1828.0201,-30.794,3.962,Greenland
