dt,AverageTemperature,AverageTemperatureUncertainty,Country
1752.1001,0.4590000000000001,2.597,Iceland
1752.1101,-0.3759999999999999,2.388,Iceland
1752.1201,-2.222,2.421,Iceland
1753.0101,-3.928,5.381,Iceland
1753.0201,-4.238,3.22,Iceland
1753.0301,-1.009,3.367,Iceland
1753.0401,-0.564,4.773,Iceland
1753.0501,3.7089999999999996,2.753,Iceland
1753.0601,7.752999999999999,3.3510000000000004,Iceland
1753.0701,8.880999999999998,2.891,Iceland
1753.0801,7.892,5.823,Iceland
1753.0901,4.788,2.532,Iceland
1753.1001,1.6030000000000002,2.736,Iceland
1753.1101,-2.403,3.214,Iceland
1753.1201,-6.6979999999999995,3.889,Iceland
1754.0101,-3.912,2.7510000000000003,Iceland
1754.0201,-5.829,3.513,Iceland
1754.0301,-3.614,3.503,Iceland
1754.0401,2.191,5.3439999999999985,Iceland
1754.0501,4.276,3.112,Iceland
1754.0601,7.692,2.553,Iceland
1754.0701,8.486999999999998,3.115,Iceland
1754.0801,7.451,4.259,Iceland
1754.0901,4.058,3.2510000000000003,Iceland
1754.1001,1.896,2.672,Iceland
1754.1101,-1.395,2.755,Iceland
1754.1201,-2.6060000000000003,2.9160000000000004,Iceland
1755.0101,-4.699999999999998,4.379,Iceland
1755.0201,-5.4209999999999985,3.551,Iceland
1755.0301,-3.747,3.785,Iceland
1755.0401,0.493,3.994,Iceland
1755.0501,4.118,2.857,Iceland
1755.0601,8.648,3.281,Iceland
1755.0701,9.23,2.71,Iceland
1755.0801,6.977,3.112,Iceland
1755.0901,4.3450000000000015,2.465,Iceland
1755.1001,0.7120000000000002,5.18,Iceland
1755.1101,-1.892,5.695,Iceland
1755.1201,-4.336,5.599,Iceland
1756.0101,-1.916,4.533,Iceland
1756.0201,0.0219999999999998,3.484,Iceland
1756.0301,-2.516,5.12,Iceland
1756.0401,0.5290000000000001,3.022,Iceland
1756.0501,4.463,4.433,Iceland
1756.0601,8.038,3.156,Iceland
1756.0701,8.85,2.758,Iceland
1756.0801,6.97,6.6770000000000005,Iceland
1756.0901,5.312,3.335,Iceland
1756.1001,0.02300000000000013,3.455,Iceland
1756.1101,-3.6839999999999997,4.081,Iceland
1756.1201,-5.231,2.942,Iceland
1757.0101,-5.984,3.21,Iceland
1757.0201,-2.196,3.756,Iceland
1757.0301,-2.6860000000000004,3.366,Iceland
1757.0401,-0.02799999999999997,4.811,Iceland
1757.0501,4.133,3.392,Iceland
1757.0601,9.847000000000001,3.62,Iceland
1757.0701,11.889000000000001,5.015,Iceland
1757.0801,8.889,4.0539999999999985,Iceland
1757.0901,6.824000000000002,5.829,Iceland
1757.1001,-1.2690000000000001,7.827000000000001,Iceland
1757.1101,-2.74,4.41,Iceland
1757.1201,-5.393000000000002,7.005,Iceland
1758.0101,-6.884,2.643,Iceland
1758.0201,-4.586,3.151,Iceland
1758.0301,-3.353,3.77,Iceland
1758.0401,-1.649,5.6789999999999985,Iceland
1758.0501,2.4850000000000003,4.714,Iceland
1758.0601,6.777,4.141,Iceland
1758.0701,8.300999999999998,6.165,Iceland
1758.0801,6.296,5.145,Iceland
1758.0901,2.9410000000000003,3.254,Iceland
1758.1001,-2.835,8.043,Iceland
1758.1101,-1.484,6.907,Iceland
1758.1201,-4.2010000000000005,4.519,Iceland
1759.0101,-0.948,5.049,Iceland
1759.0201,-1.188,5.8260000000000005,Iceland
1759.0301,-2.323,3.2460000000000004,Iceland
1759.0401,-1.952,4.6560000000000015,Iceland
1759.0501,2.122,3.363,Iceland
1759.0601,7.2730000000000015,4.595,Iceland
1759.0701,7.658999999999999,3.863,Iceland
1759.0801,8.682,5.3870000000000005,Iceland
1759.0901,5.0520000000000005,4.845,Iceland
1759.1001,0.5650000000000002,4.123,Iceland
1759.1101,-3.2239999999999998,4.934,Iceland
1759.1201,-7.435,7.587999999999999,Iceland
1760.0101,-7.465,4.103,Iceland
1760.0201,-3.509,3.364,Iceland
1760.0301,-4.811,6.69,Iceland
1760.0401,-1.341,5.395,Iceland
1760.0501,2.361,3.912,Iceland
1760.0601,5.6579999999999995,3.031,Iceland
1760.0701,7.469999999999999,4.023,Iceland
1760.0801,7.827000000000001,6.072,Iceland
1760.0901,5.002000000000002,4.698,Iceland
1760.1001,-0.8069999999999997,4.099,Iceland
1760.1101,-2.6210000000000004,3.307,Iceland
1760.1201,-4.641,2.947,Iceland
1761.0101,-4.364,5.852,Iceland
1761.0201,-2.857,3.458,Iceland
1761.0301,-0.8430000000000002,2.421,Iceland
1761.0401,-1.131,3.786,Iceland
1761.0501,4.6339999999999995,4.32,Iceland
1761.0601,9.781,3.023,Iceland
1761.0701,11.887,4.744,Iceland
1761.0801,8.51,3.059,Iceland
1761.0901,5.227,3.389,Iceland
1761.1001,-0.4530000000000001,4.493,Iceland
1761.1101,-2.3520000000000003,2.768,Iceland
1761.1201,-6.704,3.069,Iceland
1762.0101,-0.30799999999999983,2.995,Iceland
1762.0201,-2.537,6.335,Iceland
1762.0301,-4.024,4.351,Iceland
1762.0401,0.467,3.702,Iceland
1762.0501,2.2830000000000004,5.438,Iceland
1762.0601,6.847,5.442,Iceland
1762.0701,8.386000000000001,3.148,Iceland
1762.0801,6.564,2.99,Iceland
1762.0901,3.8930000000000007,6.894,Iceland
1762.1001,-2.367,3.991,Iceland
1762.1101,-1.827,2.768,Iceland
1762.1201,-2.84,5.115,Iceland
1763.0101,-4.051,4.285,Iceland
1763.0201,-4.712,4.335,Iceland
1763.0301,-4.77,5.865,Iceland
1763.0401,-1.741,2.591,Iceland
1763.0501,1.928,3.2060000000000004,Iceland
1763.0601,6.468,5.099,Iceland
1763.0701,10.153,2.695,Iceland
1763.0801,7.245,3.228,Iceland
1763.0901,4.6960000000000015,3.156,Iceland
1763.1001,-0.7669999999999997,5.272,Iceland
1763.1101,-2.052,3.706,Iceland
1763.1201,-3.915,2.702,Iceland
1764.0101,-4.136,4.253,Iceland
1764.0201,-1.669,3.698,Iceland
1764.0301,-2.135,3.683,Iceland
1764.0401,-1.182,4.13,Iceland
1764.0501,2.394,6.197,Iceland
1764.0601,4.819000000000001,3.372,Iceland
1764.0701,7.725999999999999,4.7010000000000005,Iceland
1764.0801,6.916,2.482,Iceland
1764.0901,3.754,4.589,Iceland
1764.1001,1.787,2.951,Iceland
1764.1101,-1.966,2.922,Iceland
1764.1201,-2.5980000000000003,3.662,Iceland
1765.0101,-3.352,8.377,Iceland
1765.0201,-4.672,4.047,Iceland
1765.0301,-1.969,3.045,Iceland
1765.0401,-0.09399999999999996,2.474,Iceland
1765.0501,2.995,2.654,Iceland
1765.0601,4.046,3.074,Iceland
1765.0701,7.681999999999999,3.801,Iceland
1765.0801,6.534,3.039,Iceland
1765.0901,4.018000000000002,2.476,Iceland
1765.1001,0.019000000000000128,2.153,Iceland
1765.1101,-2.0340000000000003,3.675,Iceland
1765.1201,-3.444,2.584,Iceland
1766.0101,-4.387,5.715,Iceland
1766.0201,-2.658,3.516,Iceland
1766.0301,-2.6670000000000003,3.117,Iceland
1766.0401,0.23500000000000004,3.444,Iceland
1766.0501,1.746,3.625,Iceland
1766.0601,7.544,6.19,Iceland
1766.0701,9.453,3.87,Iceland
1766.0801,8.224,3.346,Iceland
1766.0901,4.832000000000002,3.726,Iceland
1766.1001,0.696,2.599,Iceland
1766.1101,0.4669999999999999,4.377,Iceland
1766.1201,-3.3080000000000003,3.568,Iceland
1767.0101,-6.090999999999998,5.526,Iceland
1767.0201,-3.0039999999999996,6.238,Iceland
1767.0301,-2.194,6.75,Iceland
1767.0401,-1.499,5.023,Iceland
1767.0501,2.294,2.843,Iceland
1767.0601,6.524,3.622,Iceland
1767.0701,7.425999999999998,3.725,Iceland
1767.0801,8.993,2.633,Iceland
1767.0901,5.312,3.946,Iceland
1767.1001,0.7050000000000001,3.097,Iceland
1767.1101,0.061999999999999826,6.901,Iceland
1767.1201,-3.515,4.978,Iceland
1768.0101,-6.01,9.357,Iceland
1768.0201,-5.073,7.666,Iceland
1768.0301,-4.5440000000000005,5.471,Iceland
1768.0401,-1.892,3.913,Iceland
1768.0501,2.873,3.3080000000000003,Iceland
1768.0601,6.510000000000002,4.168,Iceland
1768.0701,8.597999999999999,4.268,Iceland
1768.0801,7.5329999999999995,2.401,Iceland
1768.0901,4.004,4.28,Iceland
1768.1001,-0.647,4.25,Iceland
1768.1101,-2.875,4.6930000000000005,Iceland
1768.1201,-2.872,5.987,Iceland
1769.0101,-3.9389999999999996,5.542999999999998,Iceland
1769.0201,-4.856999999999998,3.202,Iceland
1769.0301,-2.859,4.606,Iceland
1769.0401,0.457,4.992,Iceland
1769.0501,4.625,7.11,Iceland
1769.0601,7.977,4.373,Iceland
1769.0701,9.36,4.4,Iceland
1769.0801,7.852,4.7360000000000015,Iceland
1769.0901,4.963,2.309,Iceland
1769.1001,-1.1769999999999998,3.039,Iceland
1769.1101,-3.7310000000000003,2.307,Iceland
1769.1201,-4.801,3.999,Iceland
1770.0101,-3.35,6.192,Iceland
1770.0201,-1.8630000000000002,3.738,Iceland
1770.0301,-7.459,4.1960000000000015,Iceland
1770.0401,-0.542,9.328,Iceland
1770.0501,3.0069999999999997,2.547,Iceland
1770.0601,6.381,3.929,Iceland
1770.0701,8.068,6.454,Iceland
1770.0801,7.0520000000000005,4.052,Iceland
1770.0901,5.141,3.377,Iceland
1770.1001,0.3280000000000001,4.691,Iceland
1770.1101,-3.1580000000000004,5.766,Iceland
1770.1201,-3.957,8.863999999999997,Iceland
1771.0101,-2.9879999999999995,6.435,Iceland
1771.0201,-5.1610000000000005,4.347,Iceland
1771.0301,-4.8119999999999985,6.449,Iceland
1771.0401,-2.7239999999999998,5.722,Iceland
1771.0501,2.7670000000000003,9.151,Iceland
1771.0601,8.195,3.09,Iceland
