dt,AverageTemperature,AverageTemperatureUncertainty,Country
1760.0101,-14.392,4.612,Norway
1760.0201,-8.012,3.745,Norway
1760.0301,-8.048,9.164,Norway
1760.0401,-3.031,6.609,Norway
1760.0501,3.135,4.371,Norway
1760.0601,8.117,3.012,Norway
1760.0701,10.715,5.079,Norway
1760.0801,9.741,8.082,Norway
1760.0901,6.599,5.93,Norway
1760.1001,-1.8060000000000005,4.915,Norway
1760.1101,-5.2330000000000005,3.761,Norway
1760.1201,-8.942,3.3360000000000003,Norway
1761.0101,-8.402999999999999,7.374,Norway
1761.0201,-7.787000000000001,4.006,Norway
1761.0301,-3.628,2.109,Norway
1761.0401,-1.7990000000000002,4.3889999999999985,Norway
1761.0501,4.425,5.238,Norway
1761.0601,10.932,3.5010000000000003,Norway
1761.0701,12.293,6.084,Norway
1761.0801,11.151,3.669,Norway
1761.0901,6.694,4.023,Norway
1761.1001,-2.0860000000000003,5.479,Norway
1761.1101,-4.42,2.656,Norway
1761.1201,-10.289000000000001,3.3110000000000004,Norway
1762.0101,-5.9620000000000015,3.3680000000000003,Norway
1762.0201,-7.945,8.442,Norway
1762.0301,-7.925,4.937,Norway
1762.0401,-0.3300000000000001,4.302,Norway
1762.0501,2.8139999999999996,6.89,Norway
1762.0601,8.732000000000001,7.268,Norway
1762.0701,10.015,3.636,Norway
1762.0801,8.003,2.887,Norway
1762.0901,4.713,8.622,Norway
1762.1001,-4.183,4.5680000000000005,Norway
1762.1101,-4.192,2.886,Norway
1762.1201,-6.549,6.07,Norway
1763.0101,-9.097,5.726,Norway
1763.0201,-9.266,4.604,Norway
1763.0301,-8.146,7.247999999999998,Norway
1763.0401,-3.707,2.6710000000000003,Norway
1763.0501,2.688,3.769,Norway
1763.0601,8.675,6.294,Norway
1763.0701,12.530999999999999,2.269,Norway
1763.0801,9.636,3.731,Norway
1763.0901,5.46,3.3760000000000003,Norway
1763.1001,-0.5750000000000001,6.448,Norway
1763.1101,-4.3,4.271,Norway
1763.1201,-8.861,3.0610000000000004,Norway
1764.0101,-8.481000000000002,5.401,Norway
1764.0201,-5.707000000000002,3.656,Norway
1764.0301,-4.9319999999999995,4.03,Norway
1764.0401,-2.246,5.004,Norway
1764.0501,2.8510000000000004,7.77,Norway
1764.0601,5.726000000000001,3.928,Norway
1764.0701,11.71,5.715,Norway
1764.0801,8.804,2.202,Norway
1764.0901,4.4369999999999985,5.296,Norway
1764.1001,0.1449999999999999,3.15,Norway
1764.1101,-5.061,3.378,Norway
1764.1201,-8.526,4.147,Norway
1765.0101,-9.753,10.464,Norway
1765.0201,-10.527,4.917,Norway
1765.0301,-5.026,3.215,Norway
1765.0401,-1.546,2.236,Norway
1765.0501,2.2110000000000003,2.468,Norway
1765.0601,6.136000000000001,3.605,Norway
1765.0701,9.333,3.832,Norway
1765.0801,8.330000000000002,3.669,Norway
1765.0901,4.419,2.33,Norway
1765.1001,-0.6390000000000001,1.815,Norway
1765.1101,-3.785,4.1389999999999985,Norway
1765.1201,-7.779,2.78,Norway
1766.0101,-8.921000000000003,6.961,Norway
1766.0201,-8.236,4.307,Norway
1766.0301,-5.394,3.401,Norway
1766.0401,0.2330000000000001,3.979,Norway
1766.0501,2.4640000000000004,3.314,Norway
1766.0601,10.402999999999999,7.31,Norway
1766.0701,13.163,4.652,Norway
1766.0801,9.932,3.74,Norway
1766.0901,5.626,4.22,Norway
1766.1001,0.02999999999999992,2.4,Norway
1766.1101,-1.967,5.271,Norway
1766.1201,-8.277000000000001,4.008,Norway
1767.0101,-13.463,6.785,Norway
1767.0201,-8.597999999999999,7.838999999999999,Norway
1767.0301,-5.827999999999999,8.295,Norway
1767.0401,-3.56,6.246,Norway
1767.0501,2.403,2.887,Norway
1767.0601,7.598000000000001,4.312,Norway
1767.0701,9.725,4.4060000000000015,Norway
1767.0801,11.163,2.735,Norway
1767.0901,6.846,4.5280000000000005,Norway
1767.1001,-0.06700000000000006,3.1660000000000004,Norway
1767.1101,-2.321,8.272,Norway
1767.1201,-8.124,5.846,Norway
1768.0101,-10.732,12.037,Norway
