dt,AverageTemperature,AverageTemperatureUncertainty,Country
1816.0401,-6.754,4.423,Russia
1816.0501,3.2110000000000003,3.399,Russia
1816.0601,10.178999999999998,3.181,Russia
1816.0701,12.692,3.2030000000000003,Russia
1816.0801,11.789000000000001,3.012,Russia
1816.0901,4.454,3.054,Russia
1816.1001,-8.17,5.329,Russia
1816.1101,-17.017,6.2570000000000014,Russia
1816.1201,-25.039,4.474,Russia
1817.0101,-25.835,5.273,Russia
1817.0201,-21.598000000000003,4.716,Russia
1817.0301,-15.913,4.162,Russia
1817.0401,-6.196000000000001,3.927,Russia
1817.0501,2.595,3.47,Russia
1817.0601,9.235,3.172,Russia
1817.0701,12.966,2.952,Russia
1817.0801,12.906,3.148,Russia
1817.0901,2.263,3.335,Russia
1817.1001,-7.9670000000000005,3.844,Russia
1817.1101,-17.538,4.222,Russia
1817.1201,-28.436999999999998,4.564,Russia
1818.0101,-25.982,4.753,Russia
1818.0201,-25.346,4.291,Russia
1818.0301,-14.598,3.946,Russia
1818.0401,-4.459,5.292000000000002,Russia
1818.0501,4.0360000000000005,3.73,Russia
1818.0601,12.352,4.215,Russia
1818.0701,13.99,3.239,Russia
1818.0801,12.475,2.9560000000000004,Russia
1818.0901,4.654,3.24,Russia
1818.1001,-7.21,3.564,Russia
1818.1101,-16.944000000000006,5.061,Russia
1818.1201,-23.879,4.368,Russia
1819.0101,-26.359,4.503,Russia
1819.0201,-24.603,4.579,Russia
1819.0301,-17.948999999999995,5.723,Russia
1819.0401,-7.858,3.69,Russia
1819.0501,2.168,3.402,Russia
1819.0601,11.093,3.105,Russia
1819.0701,13.436,2.842,Russia
1819.0801,11.321,3.033,Russia
1819.0901,5.41,2.9930000000000003,Russia
1819.1001,-4.5280000000000005,3.298,Russia
1819.1101,-17.339000000000002,4.181,Russia
1819.1201,-25.978,4.41,Russia
1820.0101,-28.645,6.153,Russia
1820.0201,-24.666999999999998,4.588,Russia
1820.0301,-15.642000000000001,4.097,Russia
1820.0401,-4.994,3.676,Russia
1820.0501,4.449,3.327,Russia
1820.0601,11.53,3.037,Russia
1820.0701,13.932,3.485,Russia
1820.0801,10.691,2.932,Russia
1820.0901,4.976,2.478,Russia
1820.1001,-5.981999999999998,2.285,Russia
1820.1101,-17.223000000000006,2.653,Russia
1820.1201,-25.566999999999997,3.04,Russia
1821.0101,-24.335,3.2230000000000003,Russia
1821.0201,-21.585,3.5210000000000004,Russia
1821.0301,-15.359000000000002,2.532,Russia
1821.0401,-6.465,2.772,Russia
1821.0501,4.1690000000000005,2.398,Russia
1821.0601,10.223,2.505,Russia
1821.0701,13.714,2.715,Russia
1821.0801,11.884,2.331,Russia
1821.0901,3.5780000000000003,2.454,Russia
1821.1001,-5.111000000000001,2.301,Russia
1821.1101,-15.558000000000002,2.907,Russia
1821.1201,-23.767000000000003,3.032,Russia
1822.0101,-24.857,3.023,Russia
1822.0201,-20.258,2.94,Russia
1822.0301,-12.277999999999999,2.555,Russia
1822.0401,-5.551,2.501,Russia
1822.0501,2.803,2.419,Russia
1822.0601,10.937000000000001,2.34,Russia
1822.0701,14.555,2.286,Russia
1822.0801,11.92,2.702,Russia
1822.0901,4.6930000000000005,2.5980000000000003,Russia
1822.1001,-5.77,2.385,Russia
1822.1101,-17.09,2.7960000000000003,Russia
1822.1201,-24.892000000000003,3.532,Russia
1823.0101,-27.255,3.111,Russia
1823.0201,-23.68,3.214,Russia
1823.0301,-15.014000000000001,2.672,Russia
1823.0401,-6.892,2.875,Russia
1823.0501,3.56,2.504,Russia
1823.0601,12.684000000000001,2.514,Russia
1823.0701,14.844000000000001,2.295,Russia
1823.0801,11.94,2.394,Russia
1823.0901,4.253,2.364,Russia
1823.1001,-6.559,2.458,Russia
1823.1101,-17.861,2.869,Russia
1823.1201,-24.462000000000003,2.835,Russia
1824.0101,-26.038,2.945,Russia
1824.0201,-22.59,3.095,Russia
1824.0301,-14.860999999999999,2.724,Russia
1824.0401,-6.2170000000000005,2.857,Russia
1824.0501,3.4810000000000003,2.6660000000000004,Russia
1824.0601,10.98,3.299,Russia
1824.0701,15.095,3.019,Russia
1824.0801,12.132,2.435,Russia
1824.0901,5.466,2.454,Russia
1824.1001,-5.424,2.396,Russia
1824.1101,-14.863,2.785,Russia
1824.1201,-20.761999999999997,3.114,Russia
1825.0101,-23.831,3.1860000000000004,Russia
1825.0201,-22.794,2.927,Russia
1825.0301,-15.697000000000001,2.712,Russia
1825.0401,-5.4590000000000005,2.758,Russia
1825.0501,3.1140000000000003,2.305,Russia
1825.0601,12.338,2.232,Russia
1825.0701,14.069,2.582,Russia
1825.0801,12.095,2.475,Russia
1825.0901,4.4110000000000005,2.556,Russia
1825.1001,-5.635,2.552,Russia
1825.1101,-14.215000000000002,3.028,Russia
1825.1201,-23.574,2.78,Russia
1826.0101,-26.2,2.907,Russia
1826.0201,-25.035999999999998,2.909,Russia
1826.0301,-15.536,2.6180000000000003,Russia
1826.0401,-5.487,3.139,Russia
1826.0501,4.819,2.4090000000000003,Russia
1826.0601,11.719000000000001,2.431,Russia
1826.0701,15.544,2.315,Russia
1826.0801,12.245,2.319,Russia
1826.0901,5.156000000000001,2.76,Russia
1826.1001,-5.391,2.665,Russia
1826.1101,-14.567,2.602,Russia
1826.1201,-21.072000000000006,3.033,Russia
1827.0101,-23.86,3.474,Russia
1827.0201,-21.98,2.859,Russia
1827.0301,-13.969000000000001,2.603,Russia
1827.0401,-4.593999999999999,3.3310000000000004,Russia
1827.0501,4.659,2.844,Russia
1827.0601,11.887,2.455,Russia
1827.0701,15.511,2.279,Russia
1827.0801,12.628,2.307,Russia
1827.0901,4.731,2.275,Russia
1827.1001,-6.061,2.384,Russia
1827.1101,-14.82,2.638,Russia
1827.1201,-24.590999999999998,2.9560000000000004,Russia
1828.0101,-28.958000000000002,3.069,Russia
1828.0201,-25.151,3.1910000000000003,Russia
1828.0301,-15.32,2.761,Russia
1828.0401,-5.871,2.7910000000000004,Russia
1828.0501,3.913,2.696,Russia
1828.0601,12.376,2.482,Russia
1828.0701,14.8,2.608,Russia
1828.0801,12.588,2.591,Russia
1828.0901,3.61,2.322,Russia
1828.1001,-5.198,2.434,Russia
1828.1101,-15.770999999999999,2.756,Russia
1828.1201,-24.335,3.136,Russia
1829.0101,-26.561,2.943,Russia
1829.0201,-23.994,3.5580000000000003,Russia
1829.0301,-16.524,2.611,Russia
1829.0401,-7.591,2.471,Russia
1829.0501,3.48,2.3680000000000003,Russia
1829.0601,10.712,2.417,Russia
1829.0701,15.46,2.139,Russia
1829.0801,12.134,2.135,Russia
1829.0901,4.431,1.992,Russia
1829.1001,-5.053,2.1830000000000003,Russia
1829.1101,-16.244,2.295,Russia
1829.1201,-24.425,2.695,Russia
1830.0101,-25.084,2.464,Russia
1830.0201,-21.993,2.101,Russia
1830.0301,-16.722,2.015,Russia
1830.0401,-6.2410000000000005,1.956,Russia
1830.0501,2.716,2.087,Russia
1830.0601,10.768,1.981,Russia
1830.0701,15.024,2.249,Russia
1830.0801,12.437000000000001,2.138,Russia
1830.0901,3.608,1.884,Russia
1830.1001,-6.877000000000001,2.12,Russia
1830.1101,-13.718000000000002,2.325,Russia
1830.1201,-21.843000000000004,2.614,Russia
1831.0101,-26.365,2.879,Russia
1831.0201,-23.418000000000003,3.1260000000000003,Russia
1831.0301,-17.336,2.069,Russia
1831.0401,-7.135,1.84,Russia
1831.0501,3.0069999999999997,2.225,Russia
1831.0601,11.091,2.466,Russia
1831.0701,13.93,2.161,Russia
1831.0801,10.691,1.969,Russia
1831.0901,3.428,2.077,Russia
1831.1001,-6.151999999999999,1.884,Russia
1831.1101,-18.198,2.1830000000000003,Russia
1831.1201,-23.622,2.19,Russia
1832.0101,-26.647,2.361,Russia
1832.0201,-22.324,2.216,Russia
1832.0301,-15.839,2.338,Russia
1832.0401,-5.96,2.395,Russia
1832.0501,2.707,2.232,Russia
1832.0601,10.078,2.075,Russia
1832.0701,13.548,1.901,Russia
1832.0801,10.154,2.023,Russia
1832.0901,3.54,2.009,Russia
1832.1001,-4.881,2.216,Russia
1832.1101,-17.908,1.918,Russia
1832.1201,-26.642000000000003,2.474,Russia
1833.0101,-26.413,2.484,Russia
1833.0201,-22.934,2.22,Russia
1833.0301,-17.451,2.187,Russia
1833.0401,-7.186,1.991,Russia
1833.0501,2.5940000000000003,1.814,Russia
1833.0601,10.841,1.731,Russia
1833.0701,13.754000000000001,1.931,Russia
1833.0801,11.630999999999998,2.04,Russia
1833.0901,4.557,1.806,Russia
1833.1001,-6.042000000000001,1.913,Russia
1833.1101,-13.379,2.261,Russia
1833.1201,-23.945999999999998,2.6460000000000004,Russia
1834.0101,-29.033,2.106,Russia
1834.0201,-23.868000000000002,2.471,Russia
1834.0301,-14.395999999999999,2.051,Russia
1834.0401,-6.282,2.427,Russia
1834.0501,3.901,1.764,Russia
1834.0601,11.162,1.938,Russia
1834.0701,13.876,1.842,Russia
1834.0801,12.334000000000001,1.81,Russia
1834.0901,5.424,2.027,Russia
1834.1001,-4.799,1.895,Russia
1834.1101,-14.884,2.4730000000000003,Russia
1834.1201,-22.773000000000003,1.836,Russia
1835.0101,-24.62,2.39,Russia
1835.0201,-21.54,2.048,Russia
1835.0301,-16.257,1.934,Russia
1835.0401,-6.236000000000001,2.096,Russia
1835.0501,2.042,1.991,Russia
1835.0601,9.663,2.016,Russia
1835.0701,13.026,1.951,Russia
1835.0801,10.463,1.806,Russia
1835.0901,3.699,1.859,Russia
1835.1001,-5.682,1.807,Russia
1835.1101,-18.522,2.113,Russia
1835.1201,-27.462000000000003,1.9,Russia
1836.0101,-25.991999999999997,2.022,Russia
1836.0201,-23.416999999999998,2.168,Russia
1836.0301,-14.062999999999999,1.777,Russia
1836.0401,-6.897,2.252,Russia
1836.0501,1.9730000000000003,2.094,Russia
1836.0601,10.414000000000001,1.84,Russia
1836.0701,13.911,1.77,Russia
1836.0801,10.84,2.088,Russia
1836.0901,4.760999999999999,1.87,Russia
1836.1001,-3.833,1.913,Russia
1836.1101,-17.544,1.859,Russia
1836.1201,-23.22,2.322,Russia
1837.0101,-26.006999999999998,2.452,Russia
1837.0201,-22.641,2.208,Russia
1837.0301,-17.570999999999998,1.957,Russia
1837.0401,-8.269,1.943,Russia
1837.0501,2.018,2.031,Russia
1837.0601,10.007,2.017,Russia
1837.0701,13.440999999999999,1.86,Russia
1837.0801,11.975,2.044,Russia
1837.0901,4.1339999999999995,1.845,Russia
1837.1001,-6.308,1.987,Russia
1837.1101,-17.569000000000006,2.109,Russia
1837.1201,-24.35,1.966,Russia
1838.0101,-30.577,2.449,Russia
1838.0201,-24.955,1.99,Russia
1838.0301,-18.171,1.781,Russia
1838.0401,-6.093,1.683,Russia
1838.0501,2.5610000000000004,1.72,Russia
1838.0601,10.624,1.579,Russia
1838.0701,15.267999999999999,1.766,Russia
1838.0801,13.155,1.711,Russia
1838.0901,4.722,1.649,Russia
1838.1001,-4.433,1.608,Russia
1838.1101,-15.78,1.84,Russia
1838.1201,-23.34,2.027,Russia
1839.0101,-24.698,2.253,Russia
1839.0201,-22.666999999999998,2.045,Russia
1839.0301,-19.208,1.681,Russia
1839.0401,-7.292000000000001,1.683,Russia
1839.0501,3.742,1.519,Russia
1839.0601,10.989,1.594,Russia
1839.0701,15.946,1.595,Russia
1839.0801,13.299000000000001,1.761,Russia
1839.0901,5.083,1.538,Russia
1839.1001,-5.404,1.6840000000000002,Russia
1839.1101,-18.645,1.849,Russia
1839.1201,-28.396,1.815,Russia
1840.0101,-24.851,2.401,Russia
1840.0201,-24.313000000000002,2.378,Russia
1840.0301,-18.646,2.074,Russia
1840.0401,-5.747999999999999,1.784,Russia
1840.0501,4.285,1.5719999999999998,Russia
1840.0601,12.362,1.639,Russia
1840.0701,15.597000000000001,1.525,Russia
