dt,AverageTemperature,AverageTemperatureUncertainty,Country
1777.0401,7.678000000000001,2.553,Turkey
1777.0501,15.293,3.189,Turkey
1777.0601,18.660999999999998,2.9930000000000003,Turkey
1777.0701,20.756999999999998,2.643,Turkey
1777.0801,21.561,2.6010000000000004,Turkey
1777.0901,17.939,3.793,Turkey
1777.1001,11.046,4.003,Turkey
1777.1101,7.725,2.7060000000000004,Turkey
1777.1201,3.225,2.757,Turkey
1778.0101,2.101,3.276,Turkey
1778.0201,3.6830000000000003,3.15,Turkey
1778.0301,4.966,3.487,Turkey
1778.0401,12.853000000000002,2.5340000000000003,Turkey
1778.0501,15.234000000000002,2.952,Turkey
1778.0601,18.079,4.395,Turkey
1778.0701,23.288,2.595,Turkey
1778.0801,21.682,3.063,Turkey
1778.0901,19.916,2.4930000000000003,Turkey
1778.1001,12.526,4.481,Turkey
1778.1101,6.087000000000001,3.667,Turkey
1778.1201,2.76,3.07,Turkey
1779.0101,-1.276,3.115,Turkey
1779.0201,3.6919999999999997,5.622999999999998,Turkey
1779.0301,6.803999999999999,3.322,Turkey
1779.0401,11.751,3.3760000000000003,Turkey
1779.0501,17.942999999999994,2.5860000000000003,Turkey
1779.0601,18.15,3.325,Turkey
1779.0701,21.116999999999997,2.857,Turkey
1779.0801,21.950000000000006,3.3,Turkey
1779.0901,19.102,2.9760000000000004,Turkey
1779.1001,13.214,3.185,Turkey
1779.1101,8.208,2.716,Turkey
1779.1201,3.721,5.9689999999999985,Turkey
1780.0101,0.139,3.928,Turkey
1780.0201,1.568,3.083,Turkey
1780.0301,6.346,2.529,Turkey
1780.0401,14.367,2.888,Turkey
1780.0501,18.834,2.992,Turkey
1780.0601,20.477999999999998,4.066,Turkey
1780.0701,23.772,2.7310000000000003,Turkey
1780.0801,21.116,3.833,Turkey
1780.0901,15.877,3.466,Turkey
1780.1001,13.879,2.678,Turkey
1780.1101,9.328,2.775,Turkey
1780.1201,1.276,2.727,Turkey
1781.0101,0.518,5.2410000000000005,Turkey
1781.0201,0.7570000000000001,7.016,Turkey
1781.0301,5.141,2.501,Turkey
1781.0401,9.004000000000003,2.715,Turkey
1781.0501,15.476,2.93,Turkey
1781.0601,18.64,2.506,Turkey
1781.0701,23.131999999999998,3.039,Turkey
1781.0801,23.896,2.422,Turkey
1781.0901,18.215,4.526,Turkey
1781.1001,12.552999999999999,2.326,Turkey
